canonical_id,original_name,source,confidence
ATP-HTVS-0F755B78CCFB,95490,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0F900EB338B9,82082,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0FD0361A2408,93698,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0FDC7A3FF1CA,47107,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-103E90EA5971,80961,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-106685DD3ACA,70754,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-10900B51E20F,58209,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-109B405B023F,43907,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-10A4E2B2EADA,92833,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-11489B74AE1C,69539,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-115B93EFBC96,98209,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-11C14F34C5FE,35233,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-11CEFB3A39DF,61475,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-11E35EA06531,61505,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-125A7E13CFB1,85089,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-12CEF0BA8B10,31426,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-132672672DF9,95778,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-132BACAA4698,82561,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-134FC0CB3694,71041,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
