canonical_id,stage,score,source_file
ATP-HTVS-4E16F03E37A9,HTVS,-3.51409520180293,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4E16F03E37A9,HTVS,-3.44037371503155,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4E16F03E37A9,HTVS,-2.07837972512716,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4E16F03E37A9,HTVS,-1.62865749137275,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4E652792F62F,HTVS,-3.96789359037915,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4E825B07A9DF,HTVS,-4.54758226872434,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4E825B07A9DF,HTVS,-1.95388044338638,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4E9E59A3DA5E,HTVS,-1.45009554591698,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4E9E59A3DA5E,HTVS,-1.00803234830904,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4EA46F6E6AE0,HTVS,-2.24459138248723,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4EF6126AB2D8,HTVS,-5.72493211292033,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4EF6126AB2D8,HTVS,-5.1143798116206,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
