acquisition_id,canonical_id,compound_code,title,variant,pose_index,source_file,priority,wave,selection_arm,exported_structure_file,canonical_smiles,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ-0050,ATP-HTVS-B278BB2953A5,37281,m_270004bbb____25289958____24721296,37281-1,294,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0051,ATP-HTVS-DD1946FA5AC5,93185,rxn502a____EMOL882167____EMOL45980405____EMOL50155899,93185-1,816,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0052,ATP-HTVS-54A1786C1F00,83457,rxn503b____EMOL491815____EMOL44466703____EMOL313110234,83457-7,6,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0053,ATP-HTVS-E85D4903F0A1,48227,m_270004bbb____23846716____7548984,48227-4,1198,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0054,ATP-HTVS-EE8A818A3017,72097,rxn403____EMOL8314610____EMOL24201912____EMOL530791,72097-4,815,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0055,ATP-HTVS-F8BD3C119C5E,34435,m_269862dba____8258832____13192834,34435-4,5,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0056,ATP-HTVS-CEC01CDE00B1,94818,rxn505a____EMOL5415347____EMOL313123100____EMOL49780033,94818-2,970,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0057,ATP-HTVS-8EE5F01B86B2,66145,m_2230bdc____17849930____666704,66145-1,1275,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0058,ATP-HTVS-3B3954EE8C13,84897,rxn503b____EMOL32279559____EMOL13728749____EMOL313110234,84897-3,4,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0059,ATP-HTVS-4AC739BE8539,83970,rxn502b____EMOL49863568____EMOL13728749____EMOL44153840,83970-2,894,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0060,ATP-HTVS-F05D07B9382E,64417,m_270004beb____23855432____24720860,64417-5,1271,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
