acquisition_id_v2,canonical_id,compound_code,title,variant,canonical_smiles,scaffold,priority_v2,wave_v2,selection_arm_v2,source_file,structure_collection_file,structure_record_name,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ2-0032,ATP-HTVS-49D68E9248AF,44739,m_270004beb____8289658____8127862,44739-4,NC(=O)[C@@H]([NH2+]Cc1cc(OCc2ccccc2)c2ccccc2c1)c1ccccc1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0032,,,,,,,,,
ATP-ACQ2-0033,ATP-HTVS-EB0B96E798C5,89859,rxn102c____EMOL49832880____EMOL44693140,89859-2,[NH3+]CCNc1ccc(NCc2[nH+]c3ccccc3n2Cc2ccccc2)cc1,c1ccc(Cn2c(CNc3ccccc3)[nH+]c3ccccc32)cc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0033,,,,,,,,,
ATP-ACQ2-0034,ATP-HTVS-D1462A8BE621,82146,rxn503b____EMOL495084____EMOL13728749____EMOL1197208,82146-2,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1cc(F)cc(F)c1,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0034,,,,,,,,,
ATP-ACQ2-0035,ATP-HTVS-0CC0B448CED2,38179,m_270004bbb____24793076____7547738,38179-1,c1ccc(-n2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3cccnc3)n2)cc1,c1ccc(-n2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3cccnc3)n2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0035,,,,,,,,,
ATP-ACQ2-0036,ATP-HTVS-7AB1442FC022,28993,m_270004bca____17609654____24720860,28993-4,COCC[N@@H+](C)Cc1ccc(C[N@@H+](C)Cc2nc3ccccc3n2Cc2ccccc2)cc1,c1ccc(C[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0036,,,,,,,,,
ATP-ACQ2-0037,ATP-HTVS-8E3D409F2843,55746,m_270004bbb____15775648____7548658,55746-1,C[NH+](C)Cc1ccc(CC[NH2+]Cc2ccc(-c3ccc([N+](=O)[O-])cc3)s2)cc1,c1ccc(CC[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0037,,,,,,,,,
ATP-ACQ2-0038,ATP-HTVS-B278BB2953A5,37281,m_270004bbb____25289958____24721296,37281-1,C[NH+](C)CCNc1ccccc1C[NH2+]Cc1ccc(OCc2ccccc2)cn1,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cn2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0038,,,,,,,,,
ATP-ACQ2-0039,ATP-HTVS-6168063B3267,35105,m_282030aaa____21927700____23157418____21952560,35105-2,C[C@H](Nc1nc2ccccc2nc1NCc1ccccc1C[NH+](C)C)c1ccccc1N,c1ccc(CNc2nc3ccccc3nc2NCc2ccccc2)cc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0039,,,,,,,,,
ATP-ACQ2-0040,ATP-HTVS-8F383301D999,83458,rxn503b____EMOL299973501____EMOL44466703____EMOL313110234,83458-7,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1cccc(Cl)c1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0040,,,,,,,,,
ATP-ACQ2-0041,ATP-HTVS-D65E1879A1C4,90530,rxn514b____EMOL530647____EMOL1836585____EMOL2732950,90530-1,C[NH+](C)Cc1ccc(Nc2ccsc2C(=O)N(CC[NH3+])c2ccccc2)cc1,O=C(Nc1ccccc1)c1sccc1Nc1ccccc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0041,,,,,,,,,
ATP-ACQ2-0042,ATP-HTVS-1AEE198E3D8C,1538,YAS_R028____OTV2128104____OTV998841____OTV1268163____OTV1055862,1538-2,Cc1ccc([C@H](O)CNc2cc(N(C)Cc3ccccc3)nc(Nc3ccccc3O)[nH+]2)cc1,c1ccc(CCNc2cc(NCc3ccccc3)nc(Nc3ccccc3)[nH+]2)cc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0042,,,,,,,,,
ATP-ACQ2-0043,ATP-HTVS-DDBB6FEB6103,43170,m_270004bbb____15722580____21435080,43170-2,C[C@H](O)Cc1ccc(C[NH2+]Cc2oc3ccc(F)cc3c2-c2ccccc2)cc1,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0043,,,,,,,,,
ATP-ACQ2-0044,ATP-HTVS-5801E8FB792E,25635,m_270004bbb____23868216____7547738,25635-1,CNc1ccccc1C[NH2+]Cc1cn(-c2ccccc2)nc1-c1cccnc1,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2cccnc2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0044,,,,,,,,,
ATP-ACQ2-0045,ATP-HTVS-675D7E7E37EF,84769,rxn101____EMOL108753642____EMOL30145481,84769-1,CC(C)Nc1ccccc1NC(=O)Cn1c(=O)nc(-c2ccccc2)c2ccccc21,O=C(Cn1c(=O)nc(-c2ccccc2)c2ccccc21)Nc1ccccc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0045,,,,,,,,,
ATP-ACQ2-0046,ATP-HTVS-92BA88CED8DA,20033,WXDL_15E____QS5063____LN00174727____BT2076,20033-1,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(-c3cccc(O)c3)cn2)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)cn2)cc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0046,,,,,,,,,
ATP-ACQ2-0047,ATP-HTVS-DB6DF45B456E,23457,m_270004bbb____8349656____24720270,23457-1,COc1ccccc1OCc1ccc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)o1,c1ccc(C[NH2+]Cc2ccc(COc3ccccc3)o2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0047,,,,,,,,,
ATP-ACQ2-0048,ATP-HTVS-7A394D6CE484,99713,rxn102b____EMOL316258031____EMOL42620813,99713-4,C#CC[NH2+][C@@H](C)c1ccccc1Nc1nc2ccccc2cc1S(=O)(=O)c1ccccc1,O=S(=O)(c1ccccc1)c1cc2ccccc2nc1Nc1ccccc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0048,,,,,,,,,
