profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-1C9D0B7FE190,98594,,,,,,
balanced,ATP-HTVS-1CAAE7675504,51651,,,,,,
balanced,ATP-HTVS-1CF603621065,85794,,,,,,
balanced,ATP-HTVS-1D0FF5192E4C,80545,,,,,,
balanced,ATP-HTVS-1D1DA7871618,20226,,,,,,
balanced,ATP-HTVS-1D28793FB59B,57954,,,,,,
balanced,ATP-HTVS-1D3C11D6B0D4,95330,,,,,,
balanced,ATP-HTVS-1DC16EDC7F4D,32451,,,,,,
balanced,ATP-HTVS-1DC6D2F4A05D,67233,,,,,,
balanced,ATP-HTVS-1DD46A13AEBB,58369,,,,,,
balanced,ATP-HTVS-1E20B63FDE5F,82850,,,,,,
balanced,ATP-HTVS-1E475A4B97CE,20387,,,,,,
balanced,ATP-HTVS-1E5A6A308B25,86881,,,,,,
balanced,ATP-HTVS-1EBFDE0160CD,86882,,,,,,
balanced,ATP-HTVS-1F874564E13F,80035,,,,,,
balanced,ATP-HTVS-1F9A02273F27,69026,,,,,,
balanced,ATP-HTVS-1FAE7495FCDD,91266,,,,,,
balanced,ATP-HTVS-1FED3714464D,70306,,,,,,
balanced,ATP-HTVS-1FF6C325CA7A,86530,,,,,,
balanced,ATP-HTVS-203210320F32,88033,,,,,,
balanced,ATP-HTVS-20B250E7AB9A,20673,,,,,,
balanced,ATP-HTVS-20FB50B88593,58595,,,,,,
balanced,ATP-HTVS-2118F57CAFF1,72385,,,,,,
balanced,ATP-HTVS-2125555B1DA5,84706,,,,,,
balanced,ATP-HTVS-217395D9F0A5,49825,,,,,,
balanced,ATP-HTVS-217B57A40B61,22753,,,,,,
balanced,ATP-HTVS-218E3E4A28A7,95618,,,,,,
balanced,ATP-HTVS-21B7BD60A2C7,81347,,,,,,
balanced,ATP-HTVS-21B7E8D8DA00,84930,,,,,,
balanced,ATP-HTVS-21BB1C807E7E,36099,,,,,,
balanced,ATP-HTVS-21D2D8C367A1,93506,,,,,,
balanced,ATP-HTVS-22634BBBCB97,66019,,,,,,
balanced,ATP-HTVS-2275AB855C30,82946,,,,,,
balanced,ATP-HTVS-22C0C64F65E9,35330,,,,,,
balanced,ATP-HTVS-22E2482E2999,48354,,,,,,
balanced,ATP-HTVS-22E536A2C0FA,57601,,,,,,
balanced,ATP-HTVS-22FAF80E23F8,94401,,,,,,
balanced,ATP-HTVS-23113A9B9381,33411,,,,,,
balanced,ATP-HTVS-2368A2FD4D76,87745,,,,,,
balanced,ATP-HTVS-239E0EA8BC65,54689,,,,,,
balanced,ATP-HTVS-23EBF8E8F6E9,86787,,,,,,
balanced,ATP-HTVS-23EDEB47FF93,71874,,,,,,
balanced,ATP-HTVS-23F526837945,92834,,,,,,
balanced,ATP-HTVS-244A9AEB7273,5347,,,,,,
balanced,ATP-HTVS-247B97B4CA47,61825,,,,,,
balanced,ATP-HTVS-2485F4B11063,64065,,,,,,
balanced,ATP-HTVS-24E588DA0D03,95714,,,,,,
balanced,ATP-HTVS-2507C3370FB9,84259,,,,,,
balanced,ATP-HTVS-255C97768CDB,63778,,,,,,
balanced,ATP-HTVS-258E82C8B178,35362,,,,,,
balanced,ATP-HTVS-2598958FABEA,76961,,,,,,
balanced,ATP-HTVS-25BEFE000F10,95682,,,,,,
balanced,ATP-HTVS-26104959C4F1,79713,,,,,,
balanced,ATP-HTVS-2641D0EED03A,61889,,,,,,
balanced,ATP-HTVS-267F6CCD1B36,79811,,,,,,
balanced,ATP-HTVS-2699169FE698,4866,,,,,,
balanced,ATP-HTVS-269AF530E7D7,62595,,,,,,
balanced,ATP-HTVS-27050A3A08BE,12355,,,,,,
balanced,ATP-HTVS-27135ACF267B,59107,,,,,,
balanced,ATP-HTVS-27537703FBA2,53635,,,,,,
balanced,ATP-HTVS-277F9700EDE9,62211,,,,,,
balanced,ATP-HTVS-27B53DA4C14D,50115,,,,,,
balanced,ATP-HTVS-27BC230C206A,95937,,,,,,
balanced,ATP-HTVS-27E43B44E6A8,92067,,,,,,
balanced,ATP-HTVS-27FE3E1C2A9E,72194,,,,,,
