generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention
ATP-GEN-437E3F1C1063,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(F)c1,VFOLNXVLXXVCFC-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,ebc550178fe7c12635597d549178b5852d264de504feb1f2be2c461bee2ff0f7,IN-2,confirmed_reference_pose,not_claimed,447.6230000000001,3.5743000000000027,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-AC82A711C4D9,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Cl)c1,HPNTVXGFGPSDHZ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,2ee9f9d02e1e5b5e68339a02d5ed287bd0c6808525a2f8c58294102f46e028f8,IN-2,confirmed_reference_pose,not_claimed,464.0780000000001,4.088600000000003,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-9D0CB6C02EA7,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Br,[*:1]Br,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Br)c1,LNBJMQABFAYAHY-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,0bf1de5617fb1f4e6ae01c09fe4fa4a5a18d185b266d264b50bd6ada03ca0aee,IN-2,confirmed_reference_pose,not_claimed,508.5290000000001,4.197700000000004,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True
ATP-GEN-8074382C17C0,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,6,Cc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,KWMZSRAMYUMLIY-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,a0be25207b100565ee9d15ae197511eff4cf8ea7a95f68d8a504c6ea70c9d690,IN-2,confirmed_reference_pose,not_claimed,443.66000000000014,3.7436200000000035,33.94,2,2,9,2,4,0.25,,,0,3.3950000000000005,True
ATP-GEN-F003CBCFEF82,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,6,CCc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,DUYFIHBTFPAQOF-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,fcf50fe7eae3d773f9c0cf6c8b5e68bc380ee7a546d30d5d18f229a538671a8a,IN-2,confirmed_reference_pose,not_claimed,457.6870000000001,3.997600000000003,33.94,2,2,10,2,4,0.27586206896551724,,,0,3.55,True
ATP-GEN-480B924FCC78,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,6,CC(C)c1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,KVOCVXSLUFLIBI-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,6e068e6f476d96cf6f62c37705e193fc0413cbf9b4c9daa6f509ed69b1247281,IN-2,confirmed_reference_pose,not_claimed,471.71400000000017,4.558600000000004,33.94,2,2,10,2,4,0.3,,,0,3.585,True
ATP-GEN-9280A2E8D8D6,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OMe,[*:1]OC,6,COc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,CRBSBOFKBXNCSE-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,374b5e5eb2e06dbdc1dfd63ebd4b674a64c672bc0f833b02f984f84f71dcb5e7,IN-2,confirmed_reference_pose,not_claimed,459.65900000000016,3.443800000000003,43.17,2,3,10,2,4,0.25,,,0,3.55,True
ATP-GEN-BCF4BC037D7E,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OEt,[*:1]OCC,6,CCOc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,UNVMEOUJCHOLQK-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,3f5fb05caa9e4164bc372e120538bbf02f9fe757485acc1804e474ae88f79c1f,IN-2,confirmed_reference_pose,not_claimed,473.68600000000015,3.8339000000000034,43.17,2,3,11,2,4,0.27586206896551724,,,0,3.705,True
ATP-GEN-CD4F0B0626FB,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C#N)c1,GESQKWWBEOQKFS-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,5056be2c7e0a24f188e4febcb0b1751a3cdce783055ec0d605cd0fc3d8be7045,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.73,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True
ATP-GEN-EE8FA8E8AF40,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C(F)(F)F)c1,GNXRGVZCMRWFAU-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,acbaab9da4ccdf3d0a599f1b081036758ca4d85ef7ccc3b923bf23da4a4ddad1,IN-2,confirmed_reference_pose,not_claimed,497.6300000000001,4.454000000000003,33.94,2,2,9,2,4,0.25,,,0,3.5,True
