scaffold,scaffold_size,best_candidate,best_vina_affinity,cluster_count,isolated_scaffold
C(#CC(NCc1ccccc1)c1coc2ccccc12)c1ccccc1,1,ATP-HTVS-0CA591B42E29,-8.89,1,True
O=C(CCc1ccccc1)Nc1cnc2ccccc2c1Nc1ccccc1,1,ATP-HTVS-E53B79A527AF,-8.871,1,True
O=C(NCc1ccccc1)c1cc(-c2cccnc2)nc2ccccc12,1,ATP-HTVS-A0BE83379585,-8.867,1,True
c1ccc(Cn2cc(CNCC(c3cccnc3)[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1,ATP-HTVS-3F61FE181838,-8.867,1,True
O=C(N=c1[nH]cc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,1,ATP-HTVS-B7334B97F240,-8.86,1,True
c1ccc(Cn2c(C[NH2+]Cc3ccccc3N3CC[NH2+]CC3)nc3ccccc32)cc1,1,ATP-HTVS-BDC9F9AD9B20,-8.858,1,True
O=C(NCCc1nc2ccccc2n1-c1ccccc1)Nc1ccccc1,1,ATP-HTVS-22E536A2C0FA,-8.844,1,True
c1ccc(Cn2c(C[NH2+]Cc3cccc4c3NCCC4)nc3ccccc32)cc1,1,ATP-HTVS-DD420CB019C5,-8.842,1,True
c1ccc(-n2c(CC[NH2+]Cc3ccc(N4CC[NH2+]CC4)cc3)nc3ccccc32)cc1,1,ATP-HTVS-442C36D59863,-8.837,1,True
c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,1,ATP-HTVS-DDBB6FEB6103,-8.824,1,True
O=C(C#Cc1ccccc1)Nc1c(NCc2ccccc2)cnc2ccccc12,1,ATP-HTVS-15A0030054C0,-8.805,1,True
O=C(Cc1ccccc1)NCc1[nH+]c2ccccc2n1Cc1ccccc1,1,ATP-HTVS-5BC6D09DB3F1,-8.798,1,True
O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1C1CC1,1,ATP-HTVS-A0DD4911ADFC,-8.794,1,True
c1ccc(CNc2nc(NCc3cc[nH+]cc3)[nH+]c3ccccc23)cc1,1,ATP-HTVS-5494A1B9D9EC,-8.792,1,True
O=C(Nc1ccc(Nc2ccccc2)cn1)c1ccccc1,1,ATP-HTVS-8B5B7778DF28,-8.788,1,True
O=C(C#Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCCc1ccccc1,1,ATP-HTVS-BFEA0E4C0B7C,-8.766,1,True
O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1,ATP-HTVS-1CF603621065,-8.755,1,True
c1ccc(Cc2cccc(NCc3ccccc3N3CC[NH2+]CC3)n2)cc1,1,ATP-HTVS-E0D09F3A28CB,-8.752,1,True
O=C(Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,1,ATP-HTVS-2FDBF4F6464D,-8.741,1,True
c1ccc(-n2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3cccnc3)n2)cc1,1,ATP-HTVS-0CC0B448CED2,-8.736,1,True
c1ccc(CCNc2cc(-c3ccccc3)nc(-c3ccccc3)n2)cc1,1,ATP-HTVS-2A6980A94AB8,-8.721,1,True
c1ccc(CNc2nc(-c3ccccc3)c3ccccc3n2)cc1,1,ATP-HTVS-FE1522AA7EF8,-8.72,1,True
O=C(Cc1ccccc1)Nc1ncc(NCCc2ccccc2)c2ccccc12,1,ATP-HTVS-A719F0D3C4DA,-8.715,1,True
c1ccc(C[NH2+]C(Cn2cnc3ccccc32)c2ccccc2)cc1,1,ATP-HTVS-A44EAAD38847,-8.71,1,True
O=C(CNc1nc2ccccc2nc1NCc1ccccc1)NCc1ccccc1,1,ATP-HTVS-59E59E09D09E,-8.706,1,True
O=C(Nc1c(NCCc2ccccc2)cnc2ccccc12)c1ccccc1,1,ATP-HTVS-5401EBEC1B21,-8.704,1,True
c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)cc1,1,ATP-HTVS-DE3670B8C5ED,-8.703,1,True
c1ccc(CCNc2nc3ccccc3nc2Cc2ccccc2)cc1,1,ATP-HTVS-9A76BB66DB1D,-8.699,1,True
c1ccc(CNCc2nc3ccccc3c3ccccc23)cc1,1,ATP-HTVS-D4B05735BAC4,-8.687,1,True
O=C(CNc1cc2ccccc2nc1NC(=O)c1ccccc1)Nc1ccccc1,1,ATP-HTVS-87B93A696720,-8.677,1,True
O=C(c1ccccc1)c1ccc(NCc2ccccc2)nc1,1,ATP-HTVS-F084EE8F7246,-8.659,1,True
O=C(CNc1cnc2ccccc2c1NC(=O)c1ccccc1)c1ccccc1,1,ATP-HTVS-FA2DABCA7F05,-8.652,1,True
O=C(Cc1ccccc1)Nc1cnc2ccccc2c1NCCc1ccccc1,1,ATP-HTVS-A2CFD20ABAD2,-8.633,1,True
O=C(COc1ccc2ccccc2c1C(=O)Nc1ccccc1)Nc1ccccc1,1,ATP-HTVS-E0849D225AC7,-8.63,1,True
O=C(N=c1[nH]c2ccccc2n1Cc1ccccc1)NCCc1ccccc1,1,ATP-HTVS-4920657FA6C2,-8.629,1,True
c1ccc(CCNc2nc(-c3ccccn3)nc3ccccc23)cc1,1,ATP-HTVS-9279E9D3CA8E,-8.612,1,True
c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,1,ATP-HTVS-397149B089BD,-8.594,1,True
