canonical_id,canonical_smiles,glide_docking_score,structure_valid,ligand_prepared,vina_available,pose_qc_pass,failure_category,failure_reason,terminal_status
ATP-HTVS-0DE7571C9DAC,Cc1c(Cl)cccc1OCc1ccc(C[NH2+]Cc2ccccc2NCCO)o1,-4.60852371036615,True,True,True,True,,,success
ATP-HTVS-0E6472D072C2,C[NH+](C)[C@H](CNc1nc(C(C)(C)c2ccccc2)nc2ccccc12)c1ccc(O)cc1,-3.87174706925944,True,True,True,True,,,success
ATP-HTVS-0E76F39BB090,C[NH+](C)Cc1cccc(CNc2nc3ccccc3nc2NCc2ccccc2N)c1,-4.91384379869376,True,True,True,True,,,success
ATP-HTVS-0E779CFB9E8D,C[NH+](C)Cc1ccc(C(=O)Nc2ccc([C@@H](C#N)c3ccccc3)c(-c3ccc(C[NH3+])cc3)c2)cc1,-4.64095293720157,True,True,True,True,,,success
ATP-HTVS-0EB7A7111FDE,CN(Cc1sc2ccccc2c1NCc1ccc(NCCO)cc1)C(=O)c1cc(F)ccc1F,-2.77832980422911,True,True,True,True,,,success
ATP-HTVS-0F3A12BD04AB,CC(=O)c1ccc(CC(=O)Nc2c[nH+]c3ccccc3c2NCc2ccc(NCCO)cc2)c(F)c1,-6.07159898960278,True,True,True,True,,,success
ATP-HTVS-0F469DA925F8,C#Cc1ccc(C(=O)Nc2c(NCc3cccc(C[NH+](C)C)c3)cnc3ccccc23)cc1,-3.94088849150865,True,True,True,True,,,success
ATP-HTVS-0F46F3379ABF,C[NH+](C)Cc1cccc(CNc2cc3ccccc3nc2NC(=O)Cc2cccc(C#N)c2)c1,-3.90607429563462,True,True,True,True,,,success
ATP-HTVS-0F4AF3905209,C[NH+](C)Cc1cccc(Cn2c(-c3cccc(Br)c3)nc3cccc(F)c3c2=O)c1,-3.52113327150541,True,True,True,True,,,success
ATP-HTVS-0F6915EAEEA3,C[C@H]([NH2+]Cc1ccc(C[NH+](C)C)cc1)c1cn(Cc2cccc(C(F)(F)F)c2)nn1,-5.92798196044923,True,True,True,True,,,success
ATP-HTVS-0F755B78CCFB,C[NH+](C)Cc1ccc(C(=O)Nc2ncc(NCc3ccc(NCCO)cc3)c3ccccc23)cc1,-4.35514726578573,True,True,True,True,,,success
ATP-HTVS-0F900EB338B9,CN(CC(=O)Nc1c(Nc2ccc(NCCO)cc2)cnc2ccccc12)c1ccccc1,-5.14238362081274,True,True,True,True,,,success
ATP-HTVS-0FD0361A2408,C[NH+](C)Cc1cccc(CNc2cc(F)cnc2NC(=O)C(F)(F)c2ccccc2)c1,-4.34741831969368,True,True,True,True,,,success
ATP-HTVS-0FDC7A3FF1CA,CC[NH+](CC)Cc1ccccc1C[NH2+]Cc1cn(CCC#N)nc1-c1ccc(Cl)cc1,-5.88013714765497,True,True,True,True,,,success
ATP-HTVS-103E90EA5971,C[C@H](c1ccc(Cl)cc1)N(C)C(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)cs1,-4.4936951823295,True,True,True,True,,,success
ATP-HTVS-106685DD3ACA,C[NH+](C)Cc1ccc(CNc2cnc3ccccc3c2NC(=O)c2cccc(F)c2F)cc1,-4.01924083094669,True,True,True,True,,,success
ATP-HTVS-10900B51E20F,CC[NH+](CC)Cc1ccccc1C[NH2+]Cc1csc(N(C(C)=O)c2ccc(C)cc2)n1,-4.99358231560657,True,True,True,True,,,success
ATP-HTVS-109B405B023F,CC(C)Oc1ccc(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)c(Cl)c1,-1.38503096339242,True,True,True,True,,,success
ATP-HTVS-10A4E2B2EADA,C[NH+](C)Cc1ccc(C(=O)Nc2nccc(Nc3ccccc3N)c2C(=O)c2ccccc2)cc1,-4.57477617344155,True,True,True,True,,,success
ATP-HTVS-11489B74AE1C,C[NH+](C)Cc1cccc(CNc2c(NC(=O)[C@](C)(O)c3ccccc3)c[nH+]c3ccccc23)c1,-5.03834344879853,True,True,True,True,,,success
ATP-HTVS-115B93EFBC96,CN(c1cc2ccccc2nc1NC(=O)COc1ccccc1Cl)[C@H](C#N)c1ccccc1,-3.64122190653447,True,True,True,True,,,success
ATP-HTVS-11C14F34C5FE,OC[C@H](NCc1nc2ccccc2c(-c2ccccc2)c1Cl)c1cccc(F)c1,-4.15555608176031,True,True,True,True,,,success
ATP-HTVS-11CEFB3A39DF,CN(CCC#N)c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,-5.0306086001535,True,True,True,True,,,success
ATP-HTVS-11E35EA06531,Cc1ccc(N)cc1CNc1nc(NCc2ccccc2C[NH+](C)C)[nH+]c2ccccc12,-4.23623957512344,True,True,True,True,,,success
ATP-HTVS-125A7E13CFB1,C[C@H](C#N)N(c1ccccc1)c1c(NC(=O)[C@@H](c2ccc(Cl)cc2)N(C)C)cnc2ccccc12,-3.1340226312072,True,True,True,True,,,success
ATP-HTVS-12CEF0BA8B10,CN(CCOc1cccc(C#N)c1)c1nc2ccccc2nc1NCc1ccccc1C[NH+](C)C,-4.16872499718825,True,True,True,True,,,success
ATP-HTVS-132672672DF9,C[NH+](C)Cc1ccc(C(=O)Nc2nc3ccccc3cc2NCc2ccc(NCCO)cc2)cc1,-4.42873461631719,True,True,True,True,,,success
ATP-HTVS-132BACAA4698,N#Cc1ccc(C(=O)Nc2c[nH+]c3ccccc3c2NCc2ccc(NCCO)cc2)cc1,-4.75722904561426,True,True,True,True,,,success
ATP-HTVS-134FC0CB3694,C[NH+](C)Cc1ccc(CNc2c(NC(=O)Cc3ccc(Cl)cc3F)c[nH+]c3ccccc23)cc1,-4.5836821116938,True,True,True,True,,,success
ATP-HTVS-1356F7D69808,C[NH+](C)Cc1ccc(NC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)c(F)c1,-4.76216215558839,True,True,True,True,,,success
ATP-HTVS-1373BD200FA0,CC(=O)c1ccc(CC(=O)Nc2[nH+]cc(NCc3ccc(C[NH+](C)C)cc3)c3ccccc23)cc1,-4.37759148920313,True,True,True,True,,,success
ATP-HTVS-1377A1139B97,CC(=O)c1ccccc1C(=O)Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1,-4.68563003207059,True,True,True,True,,,success
ATP-HTVS-138C9DBD3419,CC[N@@H+](CCOc1ccc(OC)c2ccccc12)Cc1ccc(C[NH+](C)C)cc1,-4.92660496634571,True,True,True,True,,,success
ATP-HTVS-13A5AE9C2B6A,C#C[C@H](C)NC(=O)c1cccc(CNCc2[nH+]c3ccccc3n2Cc2ccccc2)c1,-3.76780447123084,True,True,True,True,,,success
