canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-1C4EC58A3066,-7.406,-4.57375810894154,1210,547,663,663,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1
ATP-HTVS-A9326BC55FC3,-8.06,-5.46522448944822,792,130,662,662,glide_favored,O=C(Nc1ccccc1)c1ccnc(Nc2ccccc2)c1
ATP-HTVS-0009DAEDE04F,-8.342,-3.58525470579908,553,1214,-661,661,vina_favored,O=C(CCc1ccccc1)Nc1ncc(Nc2ccccc2)c2ccccc12
ATP-HTVS-0A81E0DFACE9,-7.651,-4.7467795765273,1091,430,661,661,glide_favored,c1ccc(C[NH2+]Cc2ncc(-c3ccccc3)cn2)cc1
ATP-HTVS-43D1BB82511C,-8.074,-5.54449315498084,780,119,661,661,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1cccc(C[NH+]2CCCC2)c1
ATP-HTVS-9CB3B225923C,-9.035,-4.2827899685835,115,776,-661,661,vina_favored,c1ccc(CCNc2nc(-c3ccccc3)c3ccccc3n2)cc1
ATP-HTVS-515F0CC44DE0,-7.882,-1.11964385990209,949,1609,-660,660,vina_favored,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-1E475A4B97CE,-6.771,-4.27826615907258,1438,779,659,659,glide_favored,O=C(NCc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12
ATP-HTVS-23EBF8E8F6E9,-8.537,-3.87515742667407,381,1040,-659,659,vina_favored,O=C(Cc1ccccc1)Nc1ncc(NCc2ccccc2)c2ccccc12
ATP-HTVS-2D571D26B6AC,-5.588,-4.00028605360224,1610,953,657,657,glide_favored,O=C(Nc1ccccc1)c1sccc1Nc1ccccc1
ATP-HTVS-3DB1B8B928B3,-7.895,-5.01712861315892,935,278,657,657,glide_favored,c1ccc(CNCc2ccc(OCc3ccccc3)cc2)cc1
ATP-HTVS-928F3709654C,-7.204,-4.45239168748071,1305,649,656,656,glide_favored,O=C(Nc1nccc(-c2ccccc2)c1C(=O)c1ccccc1)c1ccccc1
ATP-HTVS-3A71FF84034D,-8.113,-5.65337754442706,751,96,655,655,glide_favored,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)cn2)cc1
ATP-HTVS-BDC9F9AD9B20,-8.858,-4.18169794448799,192,847,-655,655,vina_favored,c1ccc(Cn2c(C[NH2+]Cc3ccccc3N3CC[NH2+]CC3)nc3ccccc32)cc1
ATP-HTVS-19D9965850C9,-9.159,-4.34190893737063,82,734,-652,652,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-D190FC844C9E,-8.061,-5.42546207840677,789,137,652,652,glide_favored,O=C(Nc1ccccc1)c1cc(Nc2ccccc2)ccn1
ATP-HTVS-8FCE9ABFEDC9,-7.449,-4.59612623883549,1182,531,651,651,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccc(N2CC[NH2+]CC2)cc1)c1ccccc1
ATP-HTVS-5BFD90183104,-8.126,-2.94120134952684,740,1390,-650,650,vina_favored,O=C(Nc1cnc2ccccc2c1NCc1ccccc1)c1ccccc1
ATP-HTVS-469EEFA86A0D,-7.959,-5.1114067324417,887,239,648,648,glide_favored,O=c1c2ccccc2ccn1CCC[NH2+]Cc1ccccc1
ATP-HTVS-D4C1A78D47F2,-8.073,-5.42769533688179,783,135,648,648,glide_favored,c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2cccnc2)cc1
ATP-HTVS-59B1C5906543,-7.432,-4.57317795157002,1194,548,646,646,glide_favored,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1
ATP-HTVS-E912078D9741,-7.967,-5.12427567475619,878,232,646,646,glide_favored,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1
ATP-HTVS-FE46C3AF7461,-7.412,-4.56034552065314,1207,562,645,645,glide_favored,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1
ATP-HTVS-0E779CFB9E8D,-7.522,-4.64095293720157,1145,501,644,644,glide_favored,O=C(Nc1ccc(Cc2ccccc2)c(-c2ccccc2)c1)c1ccccc1
ATP-HTVS-676B1F951E41,-7.408,-4.55198972157874,1209,566,643,643,glide_favored,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nn2)cc1
ATP-HTVS-4E825B07A9DF,-7.402,-4.54758226872434,1214,571,643,643,glide_favored,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12
ATP-HTVS-381C421540AF,-8.759,-4.09567655452952,250,890,-640,640,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
