canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-0AAFA8CB92ED,0.08700980392156862,,,not_available_no_comparable_full_library_model_outputs,0.158297855223693,0.1428571428571429,0.37918540080884966,0.19183755070281355,4,chemical_space,349.0
ATP-HTVS-0AE85D2EF5B8,0.5153186274509803,,,not_available_no_comparable_full_library_model_outputs,0.09246407932739448,0.1428571428571429,0.6785142789057869,0.35728853213532613,4,chemical_space,519.5
ATP-HTVS-0B0619B736F3,0.0428921568627451,,,not_available_no_comparable_full_library_model_outputs,0.17752681725285002,0.1428571428571429,0.46600580704904393,0.20732048100544548,4,chemical_space,1087.0
ATP-HTVS-0B15CB8240E3,0.5,,,not_available_no_comparable_full_library_model_outputs,0.3496351277921576,0.1428571428571429,0.8435622116579284,0.4590136205768073,4,chemical_space,494.0
ATP-HTVS-0B527D484045,0.6740196078431373,,,not_available_no_comparable_full_library_model_outputs,0.25076798983054777,0.1428571428571429,0.8760259858910316,0.4859176816054649,4,chemical_space,901.0
ATP-HTVS-0B76E6A2B6F2,0.4417892156862745,,,not_available_no_comparable_full_library_model_outputs,0.32879693303777097,0.1428571428571429,0.8384962462644228,0.4379848844614028,4,chemical_space,740.5
ATP-HTVS-0BEF59EEEAC9,0.42463235294117646,,,not_available_no_comparable_full_library_model_outputs,0.2984008838195462,0.1428571428571429,0.4270395258284221,0.32323247636157193,4,chemical_space,1014.5
ATP-HTVS-0C1598B702AE,0.2818627450980392,,,not_available_no_comparable_full_library_model_outputs,0.19091603432744186,0.1428571428571429,0.7962049529094939,0.35296021879802947,4,chemical_space,1019.0
ATP-HTVS-0C253F9D7643,0.06004901960784314,,,not_available_no_comparable_full_library_model_outputs,0.27570805485062255,0.1428571428571429,0.8760259858910316,0.33866005080166006,4,chemical_space,1151.0
ATP-HTVS-0C40F7CB6A92,0.4325980392156863,,,not_available_no_comparable_full_library_model_outputs,0.2962538736009072,0.1428571428571429,0.7164838285279976,0.3970482210504335,4,chemical_space,541.0
ATP-HTVS-0C765FB89CD3,0.012867647058823529,,,not_available_no_comparable_full_library_model_outputs,0.3159160963197023,0.1428571428571429,0.7978070917199959,0.31736199448891617,4,chemical_space,772.5
ATP-HTVS-0C924C2A1F00,0.13602941176470587,,,not_available_no_comparable_full_library_model_outputs,0.21503017086206241,0.1428571428571429,0.29974913192605823,0.19841646435249236,4,chemical_space,984.0
ATP-HTVS-0CA591B42E29,0.03125,,,not_available_no_comparable_full_library_model_outputs,0.24749283398167762,0.1428571428571429,1.0,0.35539999420970514,4,chemical_space,51.5
ATP-HTVS-0CB0406266F3,0.09620098039215687,,,not_available_no_comparable_full_library_model_outputs,0.4046151072828536,0.1428571428571429,0.7804118024510399,0.35602125824579833,4,chemical_space,1095.5
ATP-HTVS-0CBFB91815ED,0.04534313725490196,,,not_available_no_comparable_full_library_model_outputs,0.13082152210787645,0.1428571428571429,0.5344058144391656,0.2133569041647717,4,chemical_space,566.0
ATP-HTVS-0CC0B448CED2,0.37683823529411764,,,not_available_no_comparable_full_library_model_outputs,0.15378971634982352,0.1428571428571429,0.8384962462644228,0.37799533519137674,4,chemical_space,470.5
ATP-HTVS-0CD00DCFE488,0.6642156862745098,,,not_available_no_comparable_full_library_model_outputs,0.5445546888015306,0.1428571428571429,0.6785142789057869,0.5075354492097425,4,chemical_space,982.0
ATP-HTVS-0CE67B896AED,0.30514705882352944,,,not_available_no_comparable_full_library_model_outputs,0.13562698159983183,0.1428571428571429,0.7804118024510399,0.341010746432886,4,chemical_space,751.0
ATP-HTVS-0D57BDDB1211,0.30637254901960786,,,not_available_no_comparable_full_library_model_outputs,0.49328360925119485,0.1428571428571429,0.7021929082800041,0.41117655235198747,4,chemical_space,1143.0
ATP-HTVS-0D83F5E9F976,0.6875,,,not_available_no_comparable_full_library_model_outputs,0.3658058223153205,0.1428571428571429,0.19430742936424072,0.3476175986341761,4,protocol,597.0
ATP-HTVS-0D8C52C362EE,0.24693627450980393,,,not_available_no_comparable_full_library_model_outputs,0.4988023877493987,0.1428571428571429,0.6871244233158569,0.3939300571080506,4,chemical_space,1147.5
ATP-HTVS-0DE7571C9DAC,0.2928921568627451,,,not_available_no_comparable_full_library_model_outputs,0.27909678243319486,0.1428571428571429,0.6501544482368102,0.3412501325974733,4,chemical_space,660.0
ATP-HTVS-0E6472D072C2,0.3596813725490196,,,not_available_no_comparable_full_library_model_outputs,0.17680352662310717,0.1428571428571429,1.0,0.4198355105073174,4,chemical_space,647.5
ATP-HTVS-0E76F39BB090,0.16727941176470587,,,not_available_no_comparable_full_library_model_outputs,0.25110509186425856,0.1428571428571429,0.2752456360991982,0.2091218206463264,4,chemical_space,377.5
ATP-HTVS-0E779CFB9E8D,0.3946078431372549,,,not_available_no_comparable_full_library_model_outputs,0.17900827919185525,0.1428571428571429,0.5438130797318703,0.3150715862295308,4,chemical_space,723.0
ATP-HTVS-0EB7A7111FDE,0.11580882352941177,,,not_available_no_comparable_full_library_model_outputs,0.4430180214557954,0.1428571428571429,0.4792808032166458,0.295241197764749,4,chemical_space,1214.5
ATP-HTVS-0F3A12BD04AB,0.22303921568627452,,,not_available_no_comparable_full_library_model_outputs,0.19390353636763047,0.1428571428571429,0.5406891545444269,0.2751222623638687,4,chemical_space,120.0
ATP-HTVS-0F469DA925F8,0.36213235294117646,,,not_available_no_comparable_full_library_model_outputs,0.2066318261983938,0.1428571428571429,0.28547776784454554,0.24927477246031465,4,protocol,594.5
ATP-HTVS-0F46F3379ABF,0.47855392156862747,,,not_available_no_comparable_full_library_model_outputs,0.2944771586211033,0.1428571428571429,0.6275095607846212,0.38584944595787374,4,chemical_space,530.5
ATP-HTVS-0F4AF3905209,0.10600490196078431,,,not_available_no_comparable_full_library_model_outputs,0.24273268555312513,0.1428571428571429,0.7416646881126754,0.30831485462093194,4,chemical_space,1227.5
