canonical_id,recommended_next_evidence,voi_proxy,voi_potential_decision_change,voi_uncertainty,voi_evidence_importance,acquisition_cost,protocol_uncertainty,rank_boundary_proximity,scaffold_novelty,evidence_uncertainty
ATP-HTVS-8C32683EF27B,Prime MM/GBSA under one reviewed frozen protocol,0.0008258476387232041,0.05943627450980392,0.32812972000811913,0.42345063025210083,10.0,0.11887254901960784,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-F1F8D839F8AD,Prime MM/GBSA under one reviewed frozen protocol,0.0008220451942683157,0.0585171568627451,0.3049424829202828,0.46067489495798325,10.0,0.1170343137254902,0.0,0.5956141834399917,0.1428571428571429
ATP-HTVS-4E16F03E37A9,Prime MM/GBSA under one reviewed frozen protocol,0.0008173629052685147,0.10447303921568628,0.324213807382694,0.241312149859944,10.0,0.20894607843137256,0.0,0.5956141834399917,0.1428571428571429
ATP-HTVS-F7CD2DD67DA6,Prime MM/GBSA under one reviewed frozen protocol,0.0008171883113998524,0.057904411764705885,0.30392313822194156,0.46435136554621853,10.0,0.11580882352941177,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-60B70570E761,Prime MM/GBSA under one reviewed frozen protocol,0.0008171321531978559,0.10814950980392157,0.313901020947656,0.24069940476190477,10.0,0.21629901960784315,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-72BD9FFCF62D,Prime MM/GBSA under one reviewed frozen protocol,0.000812667973267184,0.043688725490196104,0.34193086174536524,0.5440082282913166,10.0,0.037377450980392156,0.050000000000000044,0.45881416865974844,0.1428571428571429
ATP-HTVS-C0568328686F,Prime MM/GBSA under one reviewed frozen protocol,0.0008104264604003439,0.1096813725490196,0.3262890514898791,0.226453081232493,10.0,0.2193627450980392,0.0,0.0,0.1428571428571429
ATP-HTVS-77F3EA8C01D2,Prime MM/GBSA under one reviewed frozen protocol,0.0008100007423621772,0.07965686274509803,0.3014176663721344,0.33735994397759106,10.0,0.15931372549019607,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-EAC68E01988F,Prime MM/GBSA under one reviewed frozen protocol,0.0008046634377307327,0.06464460784313726,0.35005276320489326,0.35558911064425774,10.0,0.12928921568627452,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-1817E5512E7A,Prime MM/GBSA under one reviewed frozen protocol,0.0008044096895577018,0.11825980392156862,0.2505454658159511,0.27148984593837533,10.0,0.23651960784313725,0.0,0.21086614044181184,0.1428571428571429
ATP-HTVS-071084F9408F,Prime MM/GBSA under one reviewed frozen protocol,0.000800747561031709,0.06495098039215687,0.32265905690534114,0.3820903361344538,10.0,0.12990196078431374,0.0,1.0,0.1428571428571429
ATP-HTVS-09A5DA8CBD66,Prime MM/GBSA under one reviewed frozen protocol,0.0008002107612935955,0.0744485294117647,0.3530759197713017,0.30442489495798325,10.0,0.1488970588235294,0.0,0.8435622116579284,0.1428571428571429
