canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-BD1ED4B7B841,91779,368,333,350.5,0.00011498357002114572,0.0,0.02144607843137255,0.7858455882352942
ATP-HTVS-F7CD2DD67DA6,82467,445,256,350.5,0.0033529209018166094,1.0,0.11580882352941177,0.7858455882352942
ATP-HTVS-464DF81034BD,92994,661,46,353.5,0.03550176389489619,1.0,0.37683823529411764,0.7840073529411764
ATP-HTVS-507C96D672B3,5570,632,76,354.0,0.02901678440984237,1.0,0.34068627450980393,0.7837009803921569
ATP-HTVS-F282BC43258B,69537,222,494,358.0,0.006944444444444444,1.0,0.16666666666666666,0.78125
ATP-HTVS-38BDED367A54,94307,95,625,360.0,0.02636643658688966,1.0,0.3247549019607843,0.7800245098039216
ATP-HTVS-85B092CE3CD6,31969,640,82,361.0,0.029225913711072665,1.0,0.34191176470588236,0.7794117647058822
ATP-HTVS-BFEA0E4C0B7C,74657,244,479,361.5,0.005183647064830834,1.0,0.14399509803921567,0.7791053921568627
ATP-HTVS-1B84D304C2ED,89921,129,594,361.5,0.020295773410467125,1.0,0.2849264705882353,0.7791053921568628
ATP-HTVS-FE9A1A55DD78,56195,171,554,362.5,0.013768836655372933,1.0,0.2346813725490196,0.7784926470588236
ATP-HTVS-D806BF0778F9,63233,622,103,362.5,0.025283338289359858,1.0,0.3180147058823529,0.7784926470588236
ATP-HTVS-F1F8D839F8AD,84801,267,458,362.5,0.0034242576472991158,1.0,0.1170343137254902,0.7784926470588236
ATP-HTVS-5E1B9EFD9407,87298,60,667,363.5,0.03458414807405805,1.0,0.37193627450980393,0.7778799019607843
ATP-HTVS-D4B05735BAC4,50594,297,435,366.0,0.0017875486591695505,1.0,0.08455882352941177,0.7763480392156863
ATP-HTVS-869F8AF38162,90401,661,72,366.5,0.03256344089412726,1.0,0.36090686274509803,0.7760416666666667
ATP-HTVS-C12B4C379970,35235,501,233,367.0,0.006741697904652057,1.0,0.1642156862745098,0.7757352941176471
ATP-HTVS-A949B56C75C5,93891,100,638,369.0,0.0271684117887351,1.0,0.32965686274509803,0.7745098039215685
ATP-HTVS-A521B3182CFE,21155,176,564,370.0,0.014130682910419069,1.0,0.23774509803921567,0.7738970588235294
