candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path
ATP-HTVS-AC71774ACC4B,phase15_historical_htvs,,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,567,historical_bridge_interpretable,,1,-7.449,1182,0.0513748496462544,0.7236519607843137,0.6871244233158569,,
ATP-HTVS-66618B00A972,phase15_historical_htvs,,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,125,historical_bridge_interpretable,,3,-7.245,1288,0.0524173832945028,0.7873774509803921,0.6785142789057869,,
ATP-HTVS-F0EA8E73CD83,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N(CC[NH3+])c3ccc(Cl)cc3)sc2Cl)c1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,224,historical_bridge_interpretable,,163,-7.383,1227,0.0480384525874308,0.6519607843137255,0.6871244233158569,,
ATP-HTVS-FDB0F1EC6F74,phase15_historical_htvs,,CSCCNC(=O)c1cccc(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)c1F,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,42,historical_bridge_interpretable,,133,-6.636,1464,0.0399303422088996,0.8155637254901961,0.2923383266545055,,
ATP-HTVS-D78134F4C173,phase15_historical_htvs,,CC[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)cs1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,214,historical_bridge_interpretable,,687,-7.801,1003,0.0340764825086826,0.1936274509803921,0.5852268997706038,,
ATP-GEN-7A898D5E996B,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)(F)F,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.954,4,0.7358589216277227,,0.6582278481012658,0.7222222222222222,results\phase16\poses\ATP-GEN-7A898D5E996B_vina_7p3w_v1.pdbqt
ATP-GEN-83963B27D9CD,phase16_generated,ATP-REF-IN2,Cc1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.562,11,0.7281848333536313,,0.6231884057971014,0.7338888888888888,results\phase16\poses\ATP-GEN-83963B27D9CD_vina_7p3w_v1.pdbqt
ATP-GEN-B9896EAB127D,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(Cl)c3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.516,14,0.7251811391223155,,0.6285714285714286,0.7338888888888888,results\phase16\poses\ATP-GEN-B9896EAB127D_vina_7p3w_v1.pdbqt
ATP-GEN-28C82FC9CA0D,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)c(C#N)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-8.899,6,0.7245637077174846,,0.6075949367088608,0.6722222222222223,results\phase16\poses\ATP-GEN-28C82FC9CA0D_vina_7p3w_v1.pdbqt
ATP-GEN-1315B7478DAE,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)c(C(F)(F)F)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-8.942,5,0.7218640196989626,,0.6025641025641026,0.6644444444444445,results\phase16\poses\ATP-GEN-1315B7478DAE_vina_7p3w_v1.pdbqt
ATP-GEN-EDF096265289,phase16_generated,ATP-REF-IN2,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.499,15,0.7162526527480088,,0.6578947368421053,0.7338888888888888,results\phase16\poses\ATP-GEN-EDF096265289_vina_7p3w_v1.pdbqt
ATP-GEN-7D19A1D856E8,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1C#N,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-9.093,3,0.7157504107226085,,0.5432098765432098,0.6722222222222223,results\phase16\poses\ATP-GEN-7D19A1D856E8_vina_7p3w_v1.pdbqt
ATP-GEN-80A31E9A52D5,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(F)cccc3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.433,18,0.7154285714285714,,0.6190476190476191,0.7338888888888888,results\phase16\poses\ATP-GEN-80A31E9A52D5_vina_7p3w_v1.pdbqt
ATP-GEN-F6456D9CFF1B,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.556,12,0.7146032105149751,,0.6282051282051282,0.73,results\phase16\poses\ATP-GEN-F6456D9CFF1B_vina_7p3w_v1.pdbqt
ATP-GEN-1BC48CE9C549,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)c(S(N)(=O)=O)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-8.745,8,0.7117052824350352,,0.5679012345679013,0.6511111111111112,results\phase16\poses\ATP-GEN-1BC48CE9C549_vina_7p3w_v1.pdbqt
ATP-GEN-A0AD46590CE1,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(F)c3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.426,21,0.7104752567693743,,0.6285714285714286,0.7338888888888888,results\phase16\poses\ATP-GEN-A0AD46590CE1_vina_7p3w_v1.pdbqt
ATP-GEN-FD1FCECEBA48,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1S(N)(=O)=O,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-9.179,2,0.7096822284469343,,0.5185185185185186,0.6511111111111112,results\phase16\poses\ATP-GEN-FD1FCECEBA48_vina_7p3w_v1.pdbqt
