measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_f4cb1cc0ea11,FPTVNOKSIHPUTA-UHFFFAOYSA-N,WSA294,WSA294,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.670933284413156e-05,4.175813402677668,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,72,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_82cc324e31d5,FPTVNOKSIHPUTA-UHFFFAOYSA-N,WSA294,WSA294,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,8.0,,,ug/mL,1.667733321103289e-05,4.77787339400563,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),8,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,73,Homo sapiens HEK 293,1,1,True
msr_134f632c7621,BYLMAFONBHVALJ-UHFFFAOYSA-N,WSA295,WSA295,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.481406465202949e-05,4.188330742000108,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,74,Acinetobacter baumannii ATCC 17978,1,1,True
msr_16b9f64dc619,BYLMAFONBHVALJ-UHFFFAOYSA-N,WSA295,WSA295,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,128.0,,,ug/mL,0.00025925625860811797,3.586270750672145,inactive,weak,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,128,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,75,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_6a6467000723,BYLMAFONBHVALJ-UHFFFAOYSA-N,WSA295,WSA295,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,16.0,,,ug/mL,3.2407032326014746e-05,4.4893607376640885,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),16,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,76,Homo sapiens HEK 293,1,1,True
msr_e09a9e184646,HCBCVTVDQQQYPH-UHFFFAOYSA-N,WSA296,WSA296,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.277968841655892e-05,4.202180844088428,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,78,Acinetobacter baumannii ATCC 17978,1,1,True
msr_c1e7d279d3c1,HCBCVTVDQQQYPH-UHFFFAOYSA-N,WSA296,WSA296,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,128.0,,,ug/mL,0.0002511187536662357,3.600120852760466,inactive,weak,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,128,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,79,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_7370b12fbdcf,HCBCVTVDQQQYPH-UHFFFAOYSA-N,WSA296,WSA296,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,16.0,,,ug/mL,3.138984420827946e-05,4.503210839752409,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),16,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,80,Homo sapiens HEK 293,1,1,True
msr_21b57c870927,GXYVJEJKTGYEDL-UHFFFAOYSA-N,WSA297,WSA297,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.063948122923809e-05,4.217244522749403,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,82,Acinetobacter baumannii ATCC 17978,1,1,True
msr_7b4f46a9e8ef,GXYVJEJKTGYEDL-UHFFFAOYSA-N,WSA297,WSA297,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,128.0,,,ug/mL,0.00024255792491695237,3.615184531421441,inactive,weak,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,128,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,83,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_ff5cc22a561d,GXYVJEJKTGYEDL-UHFFFAOYSA-N,WSA297,WSA297,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,8.0,,,ug/mL,1.5159870307309523e-05,4.819304514077365,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),8,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,84,Homo sapiens HEK 293,1,1,True
msr_0959c67943cf,IZWVLJVCXHHUOO-UHFFFAOYSA-N,WSA298,WSA298,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,16.0,,,ug/mL,3.2148978365746875e-05,4.49283282358481,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,16,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,86,Acinetobacter baumannii ATCC 17978,1,1,True
msr_59320eddad51,IZWVLJVCXHHUOO-UHFFFAOYSA-N,WSA298,WSA298,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.429795673149375e-05,4.19180282792083,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,87,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_96a164d6eae8,IZWVLJVCXHHUOO-UHFFFAOYSA-N,WSA298,WSA298,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,16.0,,,ug/mL,3.2148978365746875e-05,4.49283282358481,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),16,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,88,Homo sapiens HEK 293,1,1,True
msr_557b056a5523,ZMCMUCKOPVYNJN-UHFFFAOYSA-N,WSA299,WSA299,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.205482932013116e-05,4.207224414560565,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,89,Acinetobacter baumannii ATCC 17978,1,1,True
msr_88f31ee46797,ZMCMUCKOPVYNJN-UHFFFAOYSA-N,WSA299,WSA299,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,128.0,,,ug/mL,0.00024821931728052465,3.605164423232602,inactive,weak,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,128,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,90,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_b132b34f938b,ZMCMUCKOPVYNJN-UHFFFAOYSA-N,WSA299,WSA299,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,16.0,,,ug/mL,3.102741466006558e-05,4.508254410224546,intermediate,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),16,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,91,Homo sapiens HEK 293,1,1,True
msr_690f900f85d0,UHMXBFQXPUTOKL-UHFFFAOYSA-N,WSA300,WSA300,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,16.0,,,ug/mL,3.4805080671651044e-05,4.458357355288848,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,16,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,95,Acinetobacter baumannii ATCC 17978,1,1,True
msr_62cc8ce5869b,UHMXBFQXPUTOKL-UHFFFAOYSA-N,WSA300,WSA300,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.961016134330209e-05,4.157327359624866,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,96,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
