feature,split_count,gain,feature_group
morgan1024_0329,0,0.0,preserved_v3_feature
morgan1024_0330,0,0.0,preserved_v3_feature
morgan1024_0331,0,0.0,preserved_v3_feature
morgan1024_0332,0,0.0,preserved_v3_feature
morgan1024_0334,0,0.0,preserved_v3_feature
morgan1024_0335,0,0.0,preserved_v3_feature
morgan1024_0336,0,0.0,preserved_v3_feature
morgan1024_0337,0,0.0,preserved_v3_feature
morgan1024_0338,0,0.0,preserved_v3_feature
morgan1024_0339,0,0.0,preserved_v3_feature
morgan1024_0340,0,0.0,preserved_v3_feature
morgan1024_0341,0,0.0,preserved_v3_feature
morgan1024_0342,0,0.0,preserved_v3_feature
morgan1024_0343,0,0.0,preserved_v3_feature
morgan1024_0344,0,0.0,preserved_v3_feature
morgan1024_0345,0,0.0,preserved_v3_feature
morgan1024_0346,0,0.0,preserved_v3_feature
morgan1024_0347,0,0.0,preserved_v3_feature
morgan1024_0348,0,0.0,preserved_v3_feature
morgan1024_0349,0,0.0,preserved_v3_feature
morgan1024_0350,0,0.0,preserved_v3_feature
morgan1024_0351,0,0.0,preserved_v3_feature
morgan1024_0352,0,0.0,preserved_v3_feature
morgan1024_0353,0,0.0,preserved_v3_feature
morgan1024_0354,0,0.0,preserved_v3_feature
morgan1024_0355,0,0.0,preserved_v3_feature
morgan1024_0356,0,0.0,preserved_v3_feature
morgan1024_0357,0,0.0,preserved_v3_feature
morgan1024_0358,0,0.0,preserved_v3_feature
morgan1024_0359,0,0.0,preserved_v3_feature
morgan1024_0360,0,0.0,preserved_v3_feature
morgan1024_0361,0,0.0,preserved_v3_feature
morgan1024_0362,0,0.0,preserved_v3_feature
morgan1024_0363,0,0.0,preserved_v3_feature
morgan1024_0364,0,0.0,preserved_v3_feature
morgan1024_0365,0,0.0,preserved_v3_feature
morgan1024_0366,0,0.0,preserved_v3_feature
morgan1024_0367,0,0.0,preserved_v3_feature
morgan1024_0368,0,0.0,preserved_v3_feature
morgan1024_0369,0,0.0,preserved_v3_feature
morgan1024_0370,0,0.0,preserved_v3_feature
morgan1024_0371,0,0.0,preserved_v3_feature
morgan1024_0372,0,0.0,preserved_v3_feature
morgan1024_0373,0,0.0,preserved_v3_feature
morgan1024_0374,0,0.0,preserved_v3_feature
morgan1024_0375,0,0.0,preserved_v3_feature
morgan1024_0376,0,0.0,preserved_v3_feature
morgan1024_0377,0,0.0,preserved_v3_feature
morgan1024_0378,0,0.0,preserved_v3_feature
morgan1024_0379,0,0.0,preserved_v3_feature
morgan1024_0380,0,0.0,preserved_v3_feature
morgan1024_0381,0,0.0,preserved_v3_feature
morgan1024_0382,0,0.0,preserved_v3_feature
morgan1024_0383,0,0.0,preserved_v3_feature
morgan1024_0384,0,0.0,preserved_v3_feature
morgan1024_0385,0,0.0,preserved_v3_feature
morgan1024_0386,0,0.0,preserved_v3_feature
morgan1024_0387,0,0.0,preserved_v3_feature
morgan1024_0388,0,0.0,preserved_v3_feature
morgan1024_0389,0,0.0,preserved_v3_feature
morgan1024_0390,0,0.0,preserved_v3_feature
morgan1024_0391,0,0.0,preserved_v3_feature
morgan1024_0393,0,0.0,preserved_v3_feature
morgan1024_0394,0,0.0,preserved_v3_feature
morgan1024_0395,0,0.0,preserved_v3_feature
morgan1024_0396,0,0.0,preserved_v3_feature
morgan1024_0398,0,0.0,preserved_v3_feature
morgan1024_0399,0,0.0,preserved_v3_feature
morgan1024_0400,0,0.0,preserved_v3_feature
morgan1024_0401,0,0.0,preserved_v3_feature
morgan1024_0402,0,0.0,preserved_v3_feature
morgan1024_0403,0,0.0,preserved_v3_feature
morgan1024_0404,0,0.0,preserved_v3_feature
morgan1024_0405,0,0.0,preserved_v3_feature
morgan1024_0406,0,0.0,preserved_v3_feature
morgan1024_0407,0,0.0,preserved_v3_feature
morgan1024_0408,0,0.0,preserved_v3_feature
morgan1024_0409,0,0.0,preserved_v3_feature
morgan1024_0410,0,0.0,preserved_v3_feature
morgan1024_0411,0,0.0,preserved_v3_feature
morgan1024_0412,0,0.0,preserved_v3_feature
morgan1024_0413,0,0.0,preserved_v3_feature
morgan1024_0414,0,0.0,preserved_v3_feature
morgan1024_0415,0,0.0,preserved_v3_feature
morgan1024_0416,0,0.0,preserved_v3_feature
morgan1024_0417,0,0.0,preserved_v3_feature
morgan1024_0418,0,0.0,preserved_v3_feature
morgan1024_0420,0,0.0,preserved_v3_feature
morgan1024_0421,0,0.0,preserved_v3_feature
morgan1024_0422,0,0.0,preserved_v3_feature
morgan1024_0423,0,0.0,preserved_v3_feature
morgan1024_0424,0,0.0,preserved_v3_feature
morgan1024_0425,0,0.0,preserved_v3_feature
morgan1024_0426,0,0.0,preserved_v3_feature
morgan1024_0427,0,0.0,preserved_v3_feature
morgan1024_0428,0,0.0,preserved_v3_feature
morgan1024_0429,0,0.0,preserved_v3_feature
morgan1024_0430,0,0.0,preserved_v3_feature
morgan1024_0431,0,0.0,preserved_v3_feature
morgan1024_0432,0,0.0,preserved_v3_feature
morgan1024_0433,0,0.0,preserved_v3_feature
morgan1024_0434,0,0.0,preserved_v3_feature
morgan1024_0435,0,0.0,preserved_v3_feature
morgan1024_0436,0,0.0,preserved_v3_feature
morgan1024_0437,0,0.0,preserved_v3_feature
morgan1024_0438,0,0.0,preserved_v3_feature
morgan1024_0439,0,0.0,preserved_v3_feature
morgan1024_0440,0,0.0,preserved_v3_feature
morgan1024_0441,0,0.0,preserved_v3_feature
morgan1024_0442,0,0.0,preserved_v3_feature
morgan1024_0443,0,0.0,preserved_v3_feature
morgan1024_0444,0,0.0,preserved_v3_feature
morgan1024_0445,0,0.0,preserved_v3_feature
morgan1024_0446,0,0.0,preserved_v3_feature
morgan1024_0447,0,0.0,preserved_v3_feature
morgan1024_0448,0,0.0,preserved_v3_feature
morgan1024_0449,0,0.0,preserved_v3_feature
morgan1024_0450,0,0.0,preserved_v3_feature
morgan1024_0451,0,0.0,preserved_v3_feature
morgan1024_0452,0,0.0,preserved_v3_feature
morgan1024_0453,0,0.0,preserved_v3_feature
morgan1024_0454,0,0.0,preserved_v3_feature
morgan1024_0455,0,0.0,preserved_v3_feature
morgan1024_0456,0,0.0,preserved_v3_feature
morgan1024_0457,0,0.0,preserved_v3_feature
morgan1024_0458,0,0.0,preserved_v3_feature
morgan1024_0459,0,0.0,preserved_v3_feature
morgan1024_0460,0,0.0,preserved_v3_feature
morgan1024_0461,0,0.0,preserved_v3_feature
morgan1024_0462,0,0.0,preserved_v3_feature
morgan1024_0463,0,0.0,preserved_v3_feature
morgan1024_0464,0,0.0,preserved_v3_feature
morgan1024_0465,0,0.0,preserved_v3_feature
morgan1024_0466,0,0.0,preserved_v3_feature
morgan1024_0467,0,0.0,preserved_v3_feature
morgan1024_0468,0,0.0,preserved_v3_feature
morgan1024_0469,0,0.0,preserved_v3_feature
morgan1024_0470,0,0.0,preserved_v3_feature
morgan1024_0471,0,0.0,preserved_v3_feature
morgan1024_0472,0,0.0,preserved_v3_feature
morgan1024_0473,0,0.0,preserved_v3_feature
morgan1024_0474,0,0.0,preserved_v3_feature
morgan1024_0475,0,0.0,preserved_v3_feature
morgan1024_0476,0,0.0,preserved_v3_feature
morgan1024_0477,0,0.0,preserved_v3_feature
morgan1024_0478,0,0.0,preserved_v3_feature
morgan1024_0479,0,0.0,preserved_v3_feature
morgan1024_0480,0,0.0,preserved_v3_feature
morgan1024_0481,0,0.0,preserved_v3_feature
morgan1024_0482,0,0.0,preserved_v3_feature
morgan1024_0483,0,0.0,preserved_v3_feature
morgan1024_0484,0,0.0,preserved_v3_feature
morgan1024_0485,0,0.0,preserved_v3_feature
morgan1024_0487,0,0.0,preserved_v3_feature
morgan1024_0488,0,0.0,preserved_v3_feature
morgan1024_0489,0,0.0,preserved_v3_feature
morgan1024_0490,0,0.0,preserved_v3_feature
morgan1024_0491,0,0.0,preserved_v3_feature
morgan1024_0492,0,0.0,preserved_v3_feature
morgan1024_0493,0,0.0,preserved_v3_feature
morgan1024_0494,0,0.0,preserved_v3_feature
morgan1024_0495,0,0.0,preserved_v3_feature
morgan1024_0496,0,0.0,preserved_v3_feature
morgan1024_0497,0,0.0,preserved_v3_feature
morgan1024_0498,0,0.0,preserved_v3_feature
morgan1024_0499,0,0.0,preserved_v3_feature
morgan1024_0500,0,0.0,preserved_v3_feature
morgan1024_0501,0,0.0,preserved_v3_feature
morgan1024_0502,0,0.0,preserved_v3_feature
morgan1024_0503,0,0.0,preserved_v3_feature
morgan1024_0504,0,0.0,preserved_v3_feature
morgan1024_0505,0,0.0,preserved_v3_feature
morgan1024_0506,0,0.0,preserved_v3_feature
morgan1024_0507,0,0.0,preserved_v3_feature
morgan1024_0508,0,0.0,preserved_v3_feature
morgan1024_0509,0,0.0,preserved_v3_feature
morgan1024_0510,0,0.0,preserved_v3_feature
morgan1024_0511,0,0.0,preserved_v3_feature
morgan1024_0512,0,0.0,preserved_v3_feature
morgan1024_0513,0,0.0,preserved_v3_feature
morgan1024_0514,0,0.0,preserved_v3_feature
morgan1024_0515,0,0.0,preserved_v3_feature
morgan1024_0516,0,0.0,preserved_v3_feature
morgan1024_0517,0,0.0,preserved_v3_feature
morgan1024_0518,0,0.0,preserved_v3_feature
morgan1024_0519,0,0.0,preserved_v3_feature
morgan1024_0520,0,0.0,preserved_v3_feature
morgan1024_0521,0,0.0,preserved_v3_feature
morgan1024_0522,0,0.0,preserved_v3_feature
morgan1024_0523,0,0.0,preserved_v3_feature
morgan1024_0524,0,0.0,preserved_v3_feature
morgan1024_0525,0,0.0,preserved_v3_feature
morgan1024_0526,0,0.0,preserved_v3_feature
morgan1024_0527,0,0.0,preserved_v3_feature
morgan1024_0528,0,0.0,preserved_v3_feature
morgan1024_0529,0,0.0,preserved_v3_feature
morgan1024_0530,0,0.0,preserved_v3_feature
morgan1024_0531,0,0.0,preserved_v3_feature
morgan1024_0532,0,0.0,preserved_v3_feature
morgan1024_0533,0,0.0,preserved_v3_feature
morgan1024_0534,0,0.0,preserved_v3_feature
morgan1024_0535,0,0.0,preserved_v3_feature
morgan1024_0536,0,0.0,preserved_v3_feature
