feature,feature_group,non_missing,coverage
morgan2048_0407,morgan,18,0.0108499095840868
morgan2048_0408,morgan,18,0.0108499095840868
morgan2048_0409,morgan,18,0.0108499095840868
morgan2048_0410,morgan,18,0.0108499095840868
morgan2048_0411,morgan,18,0.0108499095840868
morgan2048_0412,morgan,18,0.0108499095840868
morgan2048_0413,morgan,18,0.0108499095840868
morgan2048_0414,morgan,18,0.0108499095840868
morgan2048_0415,morgan,18,0.0108499095840868
morgan2048_0416,morgan,18,0.0108499095840868
morgan2048_0417,morgan,18,0.0108499095840868
morgan2048_0418,morgan,18,0.0108499095840868
morgan2048_0419,morgan,18,0.0108499095840868
morgan2048_0420,morgan,18,0.0108499095840868
morgan2048_0421,morgan,18,0.0108499095840868
morgan2048_0422,morgan,18,0.0108499095840868
morgan2048_0423,morgan,18,0.0108499095840868
morgan2048_0424,morgan,18,0.0108499095840868
morgan2048_0425,morgan,18,0.0108499095840868
morgan2048_0426,morgan,18,0.0108499095840868
morgan2048_0427,morgan,18,0.0108499095840868
morgan2048_0428,morgan,18,0.0108499095840868
morgan2048_0429,morgan,18,0.0108499095840868
morgan2048_0430,morgan,18,0.0108499095840868
morgan2048_0431,morgan,18,0.0108499095840868
morgan2048_0432,morgan,18,0.0108499095840868
morgan2048_0433,morgan,18,0.0108499095840868
morgan2048_0434,morgan,18,0.0108499095840868
morgan2048_0435,morgan,18,0.0108499095840868
morgan2048_0436,morgan,18,0.0108499095840868
morgan2048_0437,morgan,18,0.0108499095840868
morgan2048_0438,morgan,18,0.0108499095840868
morgan2048_0439,morgan,18,0.0108499095840868
morgan2048_0440,morgan,18,0.0108499095840868
morgan2048_0441,morgan,18,0.0108499095840868
morgan2048_0442,morgan,18,0.0108499095840868
morgan2048_0443,morgan,18,0.0108499095840868
morgan2048_0444,morgan,18,0.0108499095840868
morgan2048_0445,morgan,18,0.0108499095840868
morgan2048_0446,morgan,18,0.0108499095840868
morgan2048_0447,morgan,18,0.0108499095840868
morgan2048_0448,morgan,18,0.0108499095840868
morgan2048_0449,morgan,18,0.0108499095840868
morgan2048_0450,morgan,18,0.0108499095840868
morgan2048_0451,morgan,18,0.0108499095840868
morgan2048_0452,morgan,18,0.0108499095840868
morgan2048_0453,morgan,18,0.0108499095840868
morgan2048_0454,morgan,18,0.0108499095840868
morgan2048_0455,morgan,18,0.0108499095840868
morgan2048_0456,morgan,18,0.0108499095840868
morgan2048_0457,morgan,18,0.0108499095840868
morgan2048_0458,morgan,18,0.0108499095840868
morgan2048_0459,morgan,18,0.0108499095840868
morgan2048_0460,morgan,18,0.0108499095840868
morgan2048_0461,morgan,18,0.0108499095840868
morgan2048_0462,morgan,18,0.0108499095840868
morgan2048_0463,morgan,18,0.0108499095840868
morgan2048_0464,morgan,18,0.0108499095840868
morgan2048_0465,morgan,18,0.0108499095840868
morgan2048_0466,morgan,18,0.0108499095840868
morgan2048_0467,morgan,18,0.0108499095840868
morgan2048_0468,morgan,18,0.0108499095840868
morgan2048_0469,morgan,18,0.0108499095840868
morgan2048_0470,morgan,18,0.0108499095840868
morgan2048_0471,morgan,18,0.0108499095840868
morgan2048_0472,morgan,18,0.0108499095840868
morgan2048_0473,morgan,18,0.0108499095840868
