compound_id,canonical_smiles,target,organism,activity_type,activity_value,unit,reference,source_level,confidence,task_type
WSA298,FC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,F1Fo-ATP synthase (Fo a/c interface),Acinetobacter baumannii ATCC 17978 (inverted membrane vesicles),IC50 (ATP synthesis inhibition),650,ng/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,ATP_target
WSA298,FC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,16,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA298,FC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA299,FC1=C(F)C=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA299,FC1=C(F)C=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,128,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA304,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA304,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,64,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA300,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC(C)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,16,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA300,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC(C)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA305,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC(OC)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA305,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC(OC)=CC=C3C=C32)CC1,whole cell,Acinetobacter baumannii BAA 1605 (MDR),MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
WSA306,CCN1CCC=NC(SCc2ccccc2)=C2CNCCC(C=CC(OC)=C(F)C=C3C=C32)CC1,whole cell,Acinetobacter baumannii ATCC 17978,MIC,32,μg/mL,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,A,high,Antibacterial
