compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id,recomputed_formula,recomputed_mw,parent_identity,scaffold,independent_structural_qc,issues,source_identity_claim,independent_source_identity_verification
WIDVPHSBAXLSEU-LJQANCHMSA-N,COC(=O)[C@@H](Cc1ccc(O)cc1)NCc1cc2ccccc2nc1SC,WIDVPHSBAXLSEU-LJQANCHMSA-N,C21H22N2O3S,382.485,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,FRAUNFELTER2023-1,C21H22N2O3S,382.48500000000007,COC(=O)C(Cc1ccc(O)cc1)NCc1cc2ccccc2nc1SC,c1ccc(CCNCc2cnc3ccccc3c2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
WIIZWVCIJKGZOK-RKDXNWHRSA-N,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-RKDXNWHRSA-N,C11H12Cl2N2O5,323.132,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHLORAMPHENICOL,C11H12Cl2N2O5,323.13199999999995,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,c1ccccc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
WYSMMAHMVVNKNU-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3c(OC)c(OC)c(OC)cc3nc2SCc2ccccc2)CC1,WYSMMAHMVVNKNU-UHFFFAOYSA-N,C29H39N3O3S,509.716,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA251,C29H39N3O3S,509.7160000000003,CCN1CCC(CNCCc2cc3c(OC)c(OC)c(OC)cc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CCNCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
XDWSRXVAROERCY-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,XDWSRXVAROERCY-UHFFFAOYSA-N,C26H30F2N4S,468.617,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA274,C26H30F2N4S,468.6170000000002,CN1CCN(CCNCc2cc(-c3ccc(F)cc3F)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
XQBWCRMKNUAPEC-UHFFFAOYSA-N,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1,XQBWCRMKNUAPEC-UHFFFAOYSA-N,C27H34N4S,446.664,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA280,C27H34N4S,446.6640000000003,Cc1ccc(-c2cnc(SCc3ccccc3)c(CNCCN3CCN(C)CC3)c2)cc1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
YEMLSUARMQTHJO-UHFFFAOYSA-N,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,YEMLSUARMQTHJO-UHFFFAOYSA-N,C29H31N3S,453.655,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA249,C29H31N3S,453.65500000000037,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,c1ccc(CSc2nc3ccccc3cc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
YLGXQCGDJLLDBJ-UHFFFAOYSA-N,CN1CCN(CCNCc2cc(Br)cnc2SCc2ccccc2)CC1,YLGXQCGDJLLDBJ-UHFFFAOYSA-N,C20H27BrN4S,435.435,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA271,C20H27BrN4S,435.4350000000002,CN1CCN(CCNCc2cc(Br)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncccc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
ZGIDBFBSYKRZQE-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccccc3)cnc2SCc2ccccc2)CC1,ZGIDBFBSYKRZQE-UHFFFAOYSA-N,C28H35N3S,445.676,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA304,C28H35N3S,445.6760000000002,CCN1CCC(CCNCc2cc(-c3ccccc3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
ZMCMUCKOPVYNJN-UHFFFAOYSA-N,Fc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)c(F)c1,ZMCMUCKOPVYNJN-UHFFFAOYSA-N,C31H31F2N3S,515.673,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA299,C31H31F2N3S,515.6730000000005,Fc1ccc(-c2cnc(SCc3ccccc3)c(CNCc3ccc(CN4CCCC4)cc3)c2)c(F)c1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
ZPDBJZFBTVCYMH-UHFFFAOYSA-N,CN(C)c1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,ZPDBJZFBTVCYMH-UHFFFAOYSA-N,C33H44N4S,528.81,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA303,C33H44N4S,528.8100000000005,CN(C)c1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
